profile,config,strategy,quantity,maxError,referenceMax
exponential,2,setup,Ag_0,0,1.35977452445576e-09
exponential,2,setup,Aw_p,0,1.85236963222593e-06
exponential,2,setup,Aw_m,0,1.15728890222174e-06
exponential,2,setup,Aio,0,1.77391477909361e-06
exponential,2,setup,Amda,0,1.42633491608301e-07
exponential,2,setup,u,0,3.77690438966813e-07
exponential,2,setup,v,0,2.14261756316271e-07
exponential,2,setup,w,0,2.6266600548249e-05
exponential,2,setup,eta,0,9.09829023434558e-06
exponential,2,source,Ag_q,0,3.89886827476063e-12
exponential,2,source,Ag_0,0,1.35977452445576e-09
exponential,2,source,Aw_p,0,1.85236963222593e-06
exponential,2,source,Aw_m,0,1.15728890222174e-06
exponential,2,source,Aio,0,1.77391477909361e-06
exponential,2,source,Amda,0,1.42633491608301e-07
exponential,2,source,u,0,3.77690438966813e-07
exponential,2,source,v,0,2.14261756316271e-07
exponential,2,source,w,0,2.6266600548249e-05
exponential,2,source,eta,0,9.09829023434558e-06
exponential,2,spectral,Ag_q,4.03896783473158e-28,3.89886827476063e-12
exponential,2,spectral,Ag_0,8.29474133666413e-26,1.35977452445576e-09
exponential,2,spectral,Aw_p,2.69939845419105e-22,1.85236963222593e-06
exponential,2,spectral,Aw_m,2.09261981760067e-22,1.15728890222174e-06
exponential,2,spectral,Aio,3.23714149807033e-22,1.77391477909361e-06
exponential,2,spectral,Amda,0,1.42633491608301e-07
exponential,2,spectral,u,1.26525546496111e-20,3.77690438966813e-07
exponential,2,spectral,v,4.47339275268677e-21,2.14261756316271e-07
exponential,2,spectral,w,4.33795019918734e-19,2.6266600548249e-05
exponential,2,spectral,eta,0,9.09829023434558e-06
exponential,2,combined,Ag_q,4.03896783473158e-28,3.89886827476063e-12
exponential,2,combined,Ag_0,8.29474133666413e-26,1.35977452445576e-09
exponential,2,combined,Aw_p,2.69939845419105e-22,1.85236963222593e-06
exponential,2,combined,Aw_m,2.09261981760067e-22,1.15728890222174e-06
exponential,2,combined,Aio,3.23714149807033e-22,1.77391477909361e-06
exponential,2,combined,Amda,0,1.42633491608301e-07
exponential,2,combined,u,1.26525546496111e-20,3.77690438966813e-07
exponential,2,combined,v,4.47339275268677e-21,2.14261756316271e-07
exponential,2,combined,w,4.33795019918734e-19,2.6266600548249e-05
exponential,2,combined,eta,0,9.09829023434558e-06
exponential,3,baseline,Ag_q,0,3.89886827476062e-12
exponential,3,baseline,Ag_0,0,1.35977452445576e-09
exponential,3,baseline,Aw_p,0,1.85236963088761e-06
exponential,3,baseline,Aw_m,0,1.15728890167165e-06
exponential,3,baseline,Aio,0,1.77391477909361e-06
exponential,3,baseline,Amda,0,1.59354693638734e-07
exponential,3,baseline,u,0,3.77690434524703e-07
exponential,3,baseline,v,0,2.14261760522163e-07
exponential,3,baseline,w,0,2.81076258919805e-05
exponential,3,baseline,eta,0,9.09829023434556e-06
exponential,3,setup,Ag_q,0,3.89886827476062e-12
exponential,3,setup,Ag_0,0,1.35977452445576e-09
exponential,3,setup,Aw_p,0,1.85236963088761e-06
exponential,3,setup,Aw_m,0,1.15728890167165e-06
exponential,3,setup,Aio,0,1.77391477909361e-06
exponential,3,setup,Amda,0,1.59354693638734e-07
exponential,3,setup,u,0,3.77690434524703e-07
exponential,3,setup,v,0,2.14261760522163e-07
exponential,3,setup,w,0,2.81076258919805e-05
exponential,3,setup,eta,0,9.09829023434556e-06
exponential,3,source,Ag_q,0,3.89886827476062e-12
exponential,3,source,Ag_0,0,1.35977452445576e-09
exponential,3,source,Aw_p,0,1.85236963088761e-06
exponential,3,source,Aw_m,0,1.15728890167165e-06
exponential,3,source,Aio,0,1.77391477909361e-06
exponential,3,source,Amda,0,1.59354693638734e-07
exponential,3,source,u,0,3.77690434524703e-07
exponential,3,source,v,0,2.14261760522163e-07
exponential,3,source,w,0,2.81076258919805e-05
exponential,3,source,eta,0,9.09829023434556e-06
exponential,3,spectral,Ag_q,2.4029357415129e-28,3.89886827476062e-12
exponential,3,spectral,Ag_0,4.48757015678468e-25,1.35977452445576e-09
exponential,3,spectral,Aw_p,7.50388640859459e-22,1.85236963088761e-06
exponential,3,spectral,Aw_m,5.68225669476983e-22,1.15728890167165e-06
exponential,3,spectral,Aio,3.59434486136482e-22,1.77391477909361e-06
exponential,3,spectral,Amda,0,1.59354693638734e-07
exponential,3,spectral,u,1.71259474022979e-20,3.77690434524703e-07
exponential,3,spectral,v,1.41613320869078e-20,2.14261760522163e-07
exponential,3,spectral,w,9.3173624197973e-19,2.81076258919805e-05
exponential,3,spectral,eta,0,9.09829023434556e-06
exponential,3,combined,Ag_q,2.4029357415129e-28,3.89886827476062e-12
