profile,Nz,Lxy,family,kappa,i,j,channel,mixed,aliasError,referenceError,fullReferenceError
sharp,65,100000,apv,0,12,13,FG,0,2.34315512461564e-06,2.05055249067379e-15,9.13067489110196e-15
sharp,65,100000,apv,0,12,27,FG,0,8.32037706284947e-05,3.91436296738415e-15,1.53807667072001e-14
sharp,65,100000,apv,0,13,13,FG,0,3.73239451237906e-06,2.93748173087646e-15,1.22356458977914e-14
sharp,65,100000,apv,0,13,14,FG,0,3.281523960998e-06,1.91631147502791e-15,9.07610724453552e-15
sharp,65,100000,apv,0,13,26,FG,0,7.65404772179733e-05,2.52725638008453e-15,1.31825808394085e-14
sharp,65,100000,apv,0,14,14,FG,0,4.90771280590204e-06,2.36901390865536e-15,1.11098413385566e-14
sharp,65,100000,apv,0,14,15,FG,0,5.00501341641786e-06,2.24697743238272e-15,1.04098463376529e-14
sharp,65,100000,apv,0,14,25,FG,0,6.36699022383909e-05,3.38791723362734e-15,1.34236576803975e-14
sharp,65,100000,apv,0,15,15,FG,0,7.76318353296104e-06,2.84210656156398e-15,1.34990257474792e-14
sharp,65,100000,apv,0,15,16,FG,0,7.8065622327785e-06,2.145088514944e-15,1.03357957239625e-14
sharp,65,100000,apv,0,15,24,FG,0,5.90133011817243e-05,3.61566823505332e-15,1.34037959138993e-14
sharp,65,100000,apv,0,16,16,FG,0,9.53212976514097e-06,2.7445495825512e-15,1.38599931483704e-14
sharp,65,100000,apv,0,16,17,FG,0,1.14212477713166e-05,2.66072154197825e-15,1.1346912124058e-14
sharp,65,100000,apv,0,16,23,FG,0,4.85459284625886e-05,2.4932775118199e-15,1.24460820876037e-14
sharp,65,100000,apv,0,17,17,FG,0,1.49696319500798e-05,3.66305831707966e-15,1.44308817020134e-14
sharp,65,100000,apv,0,17,18,FG,0,1.67805257151811e-05,2.41539365871494e-15,1.25362022391167e-14
sharp,65,100000,apv,0,17,22,FG,0,4.34097384164272e-05,2.63255152097641e-15,1.31018560398095e-14
sharp,65,100000,apv,0,18,18,FG,0,2.11398841359361e-05,3.05323673213498e-15,1.5389932432335e-14
sharp,65,100000,apv,0,18,19,FG,0,2.29689699624996e-05,2.07299238038178e-15,1.30195625926419e-14
