triple,inputA,inputB,output,channel,error,modeA,modeB,referenceStability,eigenConvergence,gramError,productCount
16,wave,apv,apv,G*G->F,0.000284278335381534,8,3,1.22660347776475e-15,1.66950581942882e-11,2.12126980544059e-07,32
16,apv,wave,wave,F*G->G,0.0091545196285238,3,8,1.49791042402018e-15,1.66950581942882e-11,0.000781377838735263,32
16,apv,wave,wave,G*dG->G,0.0039838919847975,3,8,5.92679931312901e-16,1.66950581942882e-11,0.000781377838735263,32
16,apv,wave,apv,G*dF->F,0.000284278343921602,3,8,1.71741539984198e-15,1.66950581942882e-11,2.12126980544059e-07,32
16,apv,wave,apv,F*F->F,0.000283975278845162,3,8,1.84017545833832e-15,1.66950581942882e-11,2.12126980544059e-07,32
16,apv,wave,apv,G*G->F,0.000284278343921704,3,8,1.47038251387397e-15,1.66950581942882e-11,2.12126980544059e-07,32
16,wave,boundary,wave,F*G->G,0.000186546830064108,1,2,4.44089209850063e-16,5.73681637978046e-11,0.000781377838735263,16
16,wave,boundary,wave,G*dG->G,0.00128263284892702,8,2,4.21925209346579e-15,5.73681637978046e-11,0.000781377838735263,16
16,wave,boundary,apv,G*dF->F,0.0011240017658902,2,1,2.34959093075183e-15,5.73681637978046e-11,2.12126980544059e-07,16
16,wave,boundary,apv,F*F->F,0.000138304622173974,1,1,1.77635683940025e-15,5.73681637978046e-11,2.12126980544059e-07,16
16,wave,boundary,apv,G*G->F,0.00112400176589024,2,1,2.46127484942062e-15,5.73681637978046e-11,2.12126980544059e-07,16
16,boundary,wave,wave,F*G->G,0.00402308537575034,2,8,9.14638435587601e-15,1.59122271709527e-11,0.000781377838735263,16
16,boundary,wave,wave,G*dG->G,0.000823277118416697,2,1,3.04643084635479e-16,1.59122271709527e-11,0.000781377838735263,16
16,boundary,wave,apv,G*dF->F,0.00649709546627741,1,2,4.78122530891849e-15,1.66950581942882e-11,2.12126980544059e-07,16
16,boundary,wave,apv,F*F->F,0.00092512640504466,1,1,2.44249065417534e-15,1.66950581942882e-11,2.12126980544059e-07,16
16,boundary,wave,apv,G*G->F,0.00649709546627726,1,2,3.99520264237929e-15,1.66950581942882e-11,2.12126980544059e-07,16
16,apv,boundary,wave,F*G->G,0.000172234095991492,-1,2,2.71110866603232e-16,5.73681637978046e-11,0.000781377838735263,8
