profile,Nz,Lxy,family,kappa,policy,retainedFraction,energyFraction,bandwidthFraction,linearCount,retainedCount,apvCount,sampleCount,maximumAliasError,p95AliasError,maximumReferenceError,maximumFullReferenceError,scoreSeconds,linearConstructionSeconds,fineCount,referenceCount,coarseAgreement
constant,33,100000,wave,0.000266572976289502,effectiveBandwidth,0.666666666666667,0.999,0.5,18,9,9,78,1.50556092038494e-07,2.78424036624909e-08,1.38519227979851e-15,5.7400840204644e-15,0.00044225,3.40223083333333,223,445,0
constant,33,100000,wave,0.000266572976289502,effectiveBandwidth,0.666666666666667,0.999,0.666666666666667,18,12,12,138,0.00337756972583786,0.000645235809575808,2.01151599181029e-15,7.62899612875179e-15,0.000466375,3.40223083333333,223,445,0
constant,33,100000,wave,0.000266572976289502,effectiveBandwidth,0.666666666666667,0.999,0.75,18,14,14,180,0.140474739974634,0.0286197617573921,2.77880120253665e-15,9.94616949632851e-15,0.000409708333333333,3.40223083333333,223,445,0
constant,33,100000,wave,0.000320380844888282,none,0.666666666666667,0.99,0.666666666666667,18,18,18,264,0.682897033101312,0.390956072016879,3.00816630092931e-15,1.19078354202302e-14,0.000144666666666667,3.40223083333333,223,445,0
constant,33,100000,wave,0.000320380844888282,fixedFraction,0.5,0.99,0.666666666666667,18,9,9,78,1.50556109233048e-07,2.78424036319662e-08,1.38693315323341e-15,5.65394232760058e-15,0.000120458333333333,3.40223083333333,223,445,0
constant,33,100000,wave,0.000320380844888282,fixedFraction,0.666666666666667,0.99,0.666666666666667,18,12,12,138,0.00337756970365105,0.000645235804033199,1.97823191580492e-15,7.7008812991471e-15,0.000163083333333333,3.40223083333333,223,445,0
constant,33,100000,wave,0.000320380844888282,fixedFraction,0.75,0.99,0.666666666666667,18,13,13,159,0.0286197616435134,0.0061411462706186,2.76939667497628e-15,8.68133496905624e-15,9.06666666666667e-05,3.40223083333333,223,445,0
constant,33,100000,wave,0.000320380844888282,effectiveBandwidth,0.666666666666667,0.95,0.5,18,11,11,117,0.000226969177727204,4.89036622246488e-05,1.68098808320713e-15,7.32255254336338e-15,0.000459,3.40223083333333,223,445,0
constant,33,100000,wave,0.000320380844888282,effectiveBandwidth,0.666666666666667,0.95,0.666666666666667,18,14,14,180,0.140474739652266,0.0286197616435134,2.87262715986409e-15,9.98492428335768e-15,0.000421666666666667,3.40223083333333,223,445,0
constant,33,100000,wave,0.000320380844888282,effectiveBandwidth,0.666666666666667,0.95,0.75,18,16,16,222,0.596650297293569,0.176249512998328,3.00816630092931e-15,1.08729044706109e-14,0.000448458333333333,3.40223083333333,223,445,0
constant,33,100000,wave,0.000320380844888282,effectiveBandwidth,0.666666666666667,0.99,0.5,18,10,10,96,8.27366904683979e-06,1.54712894406279e-06,1.39409106112991e-15,6.64841232207876e-15,0.000426416666666667,3.40223083333333,223,445,0
constant,33,100000,wave,0.000320380844888282,effectiveBandwidth,0.666666666666667,0.99,0.666666666666667,18,13,13,159,0.0286197616435134,0.0061411462706186,2.76939667497628e-15,8.68133496905624e-15,0.00041475,3.40223083333333,223,445,0
constant,33,100000,wave,0.000320380844888282,effectiveBandwidth,0.666666666666667,0.99,0.75,18,15,15,201,0.392383537422792,0.133442713430415,3.00816630092931e-15,1.08729044706109e-14,0.00044425,3.40223083333333,223,445,0
constant,33,100000,wave,0.000320380844888282,effectiveBandwidth,0.666666666666667,0.999,0.5,18,9,9,78,1.50556109233048e-07,2.78424036319662e-08,1.38693315323341e-15,5.65394232760058e-15,0.000382916666666667,3.40223083333333,223,445,0
constant,33,100000,wave,0.000320380844888282,effectiveBandwidth,0.666666666666667,0.999,0.666666666666667,18,12,12,138,0.00337756970365105,0.000645235804033199,1.97823191580492e-15,7.7008812991471e-15,0.000427041666666667,3.40223083333333,223,445,0
constant,33,100000,wave,0.000320380844888282,effectiveBandwidth,0.666666666666667,0.999,0.75,18,14,14,180,0.140474739652266,0.0286197616435134,2.87262715986409e-15,9.98492428335768e-15,0.00046875,3.40223083333333,223,445,0
