profile,Nz,Lxy,family,kappa,i,j,channel,mixed,aliasError,referenceError,fullReferenceError
constant,129,12500,wave,0.00256304675910625,46,33,GG,1,2.24479670616282e-13,3.71544543697858e-15,1.55978709264153e-14
constant,129,12500,wave,0.00256304675910625,46,46,GG,1,8.25552965718298e-08,4.04365586891383e-15,1.5358026128458e-14
constant,129,12500,wave,0.00256304675910625,47,32,GG,1,2.34763223786589e-13,3.55937476660499e-15,1.58293455879058e-14
constant,129,12500,wave,0.00256304675910625,47,47,GG,1,6.96046415916125e-07,3.85966783793126e-15,1.50896033833962e-14
constant,129,12500,wave,0.00256304675910625,48,31,GG,1,2.51888472866222e-13,3.83887376795029e-15,1.62076752973322e-14
constant,129,12500,wave,0.00256304675910625,48,48,GG,1,5.07302593066857e-06,3.87663267138219e-15,1.59000125332983e-14
constant,129,12500,wave,0.00256304675910625,49,30,GG,1,3.04542137369025e-13,3.92643711257895e-15,1.6131721270729e-14
constant,129,12500,wave,0.00256304675910625,49,49,GG,1,3.19360843113755e-05,3.29938234592964e-15,1.60306579217094e-14
constant,129,12500,wave,0.00256304675910625,50,29,GG,1,2.98721893094321e-13,4.20379760969751e-15,1.59324565072376e-14
constant,129,12500,wave,0.00256304675910625,50,50,GG,1,0.000173341508217785,4.44206787532156e-15,1.6664146774107e-14
constant,129,12500,wave,0.00256304675910625,51,28,GG,1,2.96704864493995e-13,3.91397515177583e-15,1.61820613025781e-14
constant,129,12500,wave,0.00256304675910625,51,51,GG,1,0.000808772198559041,3.67960117151456e-15,1.71666257568436e-14
constant,129,12500,wave,0.00256304675910625,52,27,GG,1,2.92084871281058e-13,3.9376391232908e-15,1.68380482351435e-14
constant,129,12500,wave,0.00256304675910625,52,52,GG,1,0.00322913802509984,3.74372888056468e-15,1.61374524913521e-14
constant,129,12500,wave,0.00256304675910625,53,26,GG,1,3.40002258549922e-13,4.02100289217325e-15,1.66026160735803e-14
constant,129,12500,wave,0.00256304675910625,53,53,GG,1,0.0109609845223208,3.49045681777952e-15,1.69266196960212e-14
constant,129,12500,wave,0.00256304675910625,54,25,GG,1,4.10022811215047e-13,4.0922823338579e-15,1.67213801180754e-14
constant,129,12500,wave,0.00256304675910625,54,54,GG,1,0.0313403751947289,3.85042784331214e-15,1.74653743755949e-14
constant,129,12500,wave,0.00256304675910625,55,24,GG,1,4.15551524601147e-13,4.31544491060191e-15,1.72058873200503e-14
constant,129,12500,wave,0.00256304675910625,55,55,GG,1,0.074509343372209,4.17549868516851e-15,1.78075446668541e-14
constant,129,12500,wave,0.00256304675910625,56,23,GG,1,4.71312515961435e-13,4.56438779773006e-15,1.74260176581268e-14
constant,129,12500,wave,0.00256304675910625,56,56,GG,1,0.144655299966611,4.72031244775861e-15,1.88051517475763e-14
constant,129,12500,wave,0.00256304675910625,57,22,GG,1,3.66049329411474e-13,3.77485931277418e-15,1.71044234977449e-14
constant,129,12500,wave,0.00256304675910625,57,57,GG,1,0.2240752896957,4.28045793732221e-15,1.82781845430107e-14
constant,129,12500,wave,0.00256304675910625,58,21,GG,1,3.98750595632796e-13,4.31780699588496e-15,1.70782254510432e-14
constant,129,12500,wave,0.00256304675910625,58,58,GG,1,0.272331080224935,4.44634569300112e-15,1.87032284216827e-14
constant,129,12500,wave,0.00256304675910625,59,20,GG,1,4.7693232535035e-13,4.28533556535012e-15,1.78379912828968e-14
constant,129,12500,wave,0.00256304675910625,59,59,GG,1,0.27666336674589,4.55523774658399e-15,1.94501186797907e-14
constant,129,12500,wave,0.00256304675910625,60,19,GG,1,5.60918926751432e-13,4.5790134037561e-15,1.81445006267521e-14
constant,129,12500,wave,0.00256304675910625,60,60,GG,1,0.294133878062832,5.38020192141271e-15,2.00312766818638e-14
constant,129,12500,wave,0.00256304675910625,61,18,GG,1,5.53409394079425e-13,4.30697005313676e-15,1.82876293460502e-14
constant,129,12500,wave,0.00256304675910625,61,61,GG,1,0.315552295215147,5.27942619384836e-15,1.94393628238881e-14
constant,129,12500,wave,0.00256304675910625,62,17,GG,1,3.50040651850317e-13,4.47743543423627e-15,1.87925954550142e-14
constant,129,12500,wave,0.00256304675910625,62,62,GG,1,0.317794512834653,5.16484622910172e-15,2.01818488581929e-14
constant,129,12500,wave,0.00256304675910625,63,16,GG,1,3.61124439101794e-13,4.35017503261928e-15,1.77217120657298e-14
constant,129,12500,wave,0.00256304675910625,63,63,GG,1,0.337229827495336,5.39588550219382e-15,2.09268439230416e-14
constant,129,12500,wave,0.00256304675910625,64,15,GG,1,5.88282516743286e-13,4.78643601135985e-15,1.8631532822237e-14
constant,129,12500,wave,0.00256304675910625,64,64,GG,1,0.338532931000293,5.1392582522747e-15,2.06247417565248e-14
constant,129,12500,wave,0.00256304675910625,65,14,GG,1,6.84863911215592e-13,4.39247803435932e-15,1.9721149000196e-14
constant,129,12500,wave,0.00256304675910625,65,65,GG,1,0.353921309107851,4.51417121844365e-15,2.07302634012183e-14
constant,129,12500,wave,0.00256304675910625,66,13,GG,1,7.47510805322792e-13,4.60009811542168e-15,1.96608791876939e-14
constant,129,12500,wave,0.00256304675910625,66,66,GG,1,0.355269601630571,5.3976771992811e-15,2.19278830237458e-14
constant,129,12500,wave,0.00256304675910625,67,12,GG,1,5.42797859093136e-13,3.86276661436387e-15,1.89638448502593e-14
constant,129,12500,wave,0.00256304675910625,67,67,GG,1,0.367302058054852,5.53434118017231e-15,2.25184367879724e-14
constant,129,12500,wave,0.00256304675910625,68,11,GG,1,6.36553752195616e-13,4.52268541752575e-15,2.05561143174652e-14
constant,129,12500,wave,0.00256304675910625,68,68,GG,1,0.370379513821008,5.68358434809714e-15,2.27852775274564e-14
constant,129,12500,wave,0.00256304675910625,69,10,GG,1,5.92495973508349e-13,4.03997230159695e-15,2.00473788464573e-14
constant,129,12500,wave,0.00256304675910625,69,69,GG,1,0.377100987159748,5.62752917394697e-15,2.21891215554406e-14
constant,129,12500,wave,0.00256304675910625,70,9,GG,1,5.01501597601656e-13,5.18921748080864e-15,2.11150762457783e-14
constant,129,12500,wave,0.00256304675910625,70,70,GG,1,0.384520314405667,5.52640481920242e-15,2.26087634618427e-14
constant,129,12500,wave,0.00256304675910625,71,8,GG,1,7.04295276062717e-13,4.75031806222857e-15,2.17697959950538e-14
constant,129,12500,wave,0.00256304675910625,71,71,GG,1,0.38594404074965,4.96844750686004e-15,2.28041188338349e-14
constant,129,12500,wave,0.00256304675910625,72,7,GG,1,7.2561310759144e-13,4.43668975643772e-15,2.04504923449719e-14
constant,129,12500,wave,0.00256304675910625,72,72,GG,1,0.394197162386683,5.95661082716928e-15,2.34852857519312e-14
constant,129,12500,wave,0.00256304675910625,73,6,GG,1,6.99997138184164e-13,4.3768781426558e-15,2.03853975621492e-14
constant,129,12500,wave,0.00256304675910625,73,73,GG,1,0.397828158177409,5.87529726716929e-15,2.4745322610989e-14
constant,129,12500,wave,0.00256304675910625,74,5,GG,1,7.37367325505728e-13,4.80003546139244e-15,2.19058329058941e-14
constant,129,12500,wave,0.00256304675910625,74,74,GG,1,0.399996681339395,6.63941231566392e-15,2.47952836306045e-14
constant,129,12500,wave,0.00256304675910625,75,4,GG,1,8.53640948968536e-13,5.60301328397449e-15,2.33491792879245e-14
constant,129,12500,wave,0.00256304675910625,75,75,GG,1,0.407040669786397,6.39817391254695e-15,2.51644248580427e-14
constant,129,12500,wave,0.00256304675910625,76,3,GG,1,8.73867446924194e-13,4.80743018013613e-15,2.15184018959779e-14
constant,129,12500,wave,0.00256304675910625,76,76,GG,1,0.41010706537442,5.76306135800082e-15,2.49202364905773e-14
constant,129,12500,wave,0.00256304675910625,77,2,GG,1,8.74470933897838e-13,5.65280803326602e-15,2.41198012404849e-14
constant,129,12500,wave,0.00256304675910625,77,77,GG,1,0.411635735071957,6.43070624144884e-15,2.50194374740211e-14
constant,129,12500,wave,0.00256304675910625,78,1,GG,1,1.40366444359098e-12,5.55080465257214e-15,2.6436879839149e-14
constant,129,12500,wave,0.00256304675910625,78,78,GG,1,0.417267868949921,6.43835975993619e-15,2.63063335880537e-14
exponential,33,100000,apv,0,1,1,FF,0,4.12807317597206e-16,3.05362694681362e-16,7.10402444553456e-16
exponential,33,100000,apv,0,1,2,FF,0,3.74176117640908e-16,1.80577515560782e-16,6.78123463259236e-16
exponential,33,100000,apv,0,1,18,FF,0,2.70233561506507e-07,1.90315317566258e-15,5.98597919925415e-15
exponential,33,100000,apv,0,2,2,FF,0,4.66610335522401e-16,1.88647779673277e-16,7.22302014911438e-16
exponential,33,100000,apv,0,2,3,FF,0,5.71068244822789e-16,2.8719288374051e-16,9.05695622409389e-16
exponential,33,100000,apv,0,2,17,FF,0,4.02076915533768e-07,1.63943011280638e-15,5.52941854662249e-15
exponential,33,100000,apv,0,3,3,FF,0,7.20430885576752e-16,3.23229962864414e-16,1.02642620716064e-15
exponential,33,100000,apv,0,3,4,FF,0,9.27936223266874e-16,3.97966768082598e-16,1.23163948020132e-15
exponential,33,100000,apv,0,3,16,FF,0,5.18632897078281e-07,1.63978664566428e-15,4.91462700483133e-15
exponential,33,100000,apv,0,4,4,FF,0,1.13421757880668e-15,4.36554264834173e-16,1.41340162218734e-15
exponential,33,100000,apv,0,4,5,FF,0,1.17608299450811e-15,4.85442049449341e-16,1.64297234513224e-15
exponential,33,100000,apv,0,4,15,FF,0,5.60533911543048e-07,1.62264883430298e-15,4.72350550006051e-15
exponential,33,100000,apv,0,5,5,FF,0,1.57527762329483e-15,4.42338014049557e-16,1.62831614654212e-15
exponential,33,100000,apv,0,5,6,FF,0,1.7779537251033e-15,5.63484979577278e-16,2.03058812744277e-15
exponential,33,100000,apv,0,5,14,FF,0,5.82342294930432e-07,1.47788473116376e-15,4.15264530509398e-15
exponential,33,100000,apv,0,6,6,FF,0,2.06690947500789e-15,6.23101247813748e-16,2.13331902698067e-15
exponential,33,100000,apv,0,6,7,FF,0,4.25385712482372e-14,6.35432646994647e-16,2.4537980183936e-15
exponential,33,100000,apv,0,6,13,FF,0,5.94352438277203e-07,1.09846643041291e-15,4.03287328381801e-15
exponential,33,100000,apv,0,7,7,FF,0,1.76085511251618e-12,6.59783556295941e-16,2.40181746076544e-15
exponential,33,100000,apv,0,7,8,FF,0,3.15368038358396e-11,7.88059156122717e-16,2.7975422547545e-15
exponential,33,100000,apv,0,7,12,FF,0,6.00042745265193e-07,1.06032740604502e-15,3.82721238054297e-15
exponential,33,100000,apv,0,8,8,FF,0,5.41484787312049e-10,8.83146814142249e-16,3.02117292735401e-15
