family,step,rateMax,error,omittedTimeError,profile,amplitude,Nx,Nz,apvModes,waveModes,mdaModes
Aw_p,0.125,6.93774222621227e-09,3.1422973739997e-16,1.57713246749585e-14,constant,0.01,16,65,6,8,4
Aw_m,0.125,3.49211698759712e-09,4.54074330786891e-16,1.58512334708775e-14,constant,0.01,16,65,6,8,4
Ag_q,0.125,1.74056833942648e-14,2.7686160196565e-23,7.00355885907657e-23,constant,0.01,16,65,6,8,4
Ag_0,0.125,2.19152828692848e-12,1.08490197599205e-19,1.79490351871843e-19,constant,0.01,16,65,6,8,4
Aio,0.125,5.77016243867442e-09,1.73854903427059e-18,2.97909248449557e-18,constant,0.01,16,65,6,8,4
Amda,0.125,1.26186050067836e-09,6.53407109173832e-18,1.00035180436919e-17,constant,0.01,16,65,6,8,4
Aw_p,4,1.87695218993609e-06,4.00901964556528e-12,1.60047493815273e-07,exponential,0.1,8,33,3,4,2
Aw_m,4,6.0111190897209e-07,4.67020904264358e-12,6.34939568117092e-07,exponential,0.1,8,33,3,4,2
Ag_q,4,3.75278816570613e-12,1.17284499607038e-19,4.58938257380403e-13,exponential,0.1,8,33,3,4,2
Ag_0,4,1.21305775303344e-09,3.77070085654882e-17,1.49916371306679e-10,exponential,0.1,8,33,3,4,2
Aio,4,1.77391477909699e-06,9.5921922674938e-19,2.96650030393976e-18,exponential,0.1,8,33,3,4,2
Amda,4,1.42589407664791e-07,2.21774864636e-15,2.05972640071378e-11,exponential,0.1,8,33,3,4,2
Aw_p,2,1.87695218993609e-06,1.00234316475285e-12,1.60047493831586e-07,exponential,0.1,8,33,3,4,2
Aw_m,2,6.0111190897209e-07,1.16766611434895e-12,6.34939568119483e-07,exponential,0.1,8,33,3,4,2
Ag_q,2,3.75278816570613e-12,2.93211744143554e-20,4.58938257381239e-13,exponential,0.1,8,33,3,4,2
Ag_0,2,1.21305775303344e-09,9.42500523772415e-18,1.49916371308463e-10,exponential,0.1,8,33,3,4,2
Aio,2,1.77391477909699e-06,4.382366597541e-18,2.25514742101705e-18,exponential,0.1,8,33,3,4,2
Amda,2,1.42589407664791e-07,5.56750918112209e-16,2.0597263573457e-11,exponential,0.1,8,33,3,4,2
Aw_p,1,1.87695218993609e-06,2.50591225634341e-13,1.6004749384597e-07,exponential,0.1,8,33,3,4,2
Aw_m,1,6.0111190897209e-07,2.91923574879122e-13,6.3493956812859e-07,exponential,0.1,8,33,3,4,2
Ag_q,1,3.75278816570613e-12,7.32942022555658e-21,4.58938257384496e-13,exponential,0.1,8,33,3,4,2
Ag_0,1,1.21305775303344e-09,2.3563176752619e-18,1.49916371313221e-10,exponential,0.1,8,33,3,4,2
Aio,1,1.77391477909699e-06,2.17841443860386e-18,4.30108683380843e-18,exponential,0.1,8,33,3,4,2
Amda,1,1.42589407664791e-07,1.43886730829729e-16,2.05972566345631e-11,exponential,0.1,8,33,3,4,2
Aw_p,0.5,1.87695218993609e-06,6.26484728889252e-14,1.60047493835637e-07,exponential,0.1,8,33,3,4,2
Aw_m,0.5,6.0111190897209e-07,7.29811762046025e-14,6.34939568108612e-07,exponential,0.1,8,33,3,4,2
