time,energy,volume,densityMoment,densitySquaredMoment,minimumLabel,maximumLabel,profile,caseName,variant,config,deltaT
487,8.29593142863343e-07,1000,5224.26061558918,36390.5260070397,-999.9998,-0.000199999999675877,constant,linear,displacement,4,10
327,8.29593142860354e-07,1000,5224.26061558919,36390.5260070397,-999.9998,-0.000199999999999994,constant,linear,displacement,4,5
367,8.29593142862159e-07,999.999999999999,5224.26061558918,36390.5260070397,-999.9998,-0.000199999999951331,constant,linear,displacement,4,5
407,8.29593142863293e-07,1000,5224.26061558918,36390.5260070398,-999.9998,-0.000199999999881108,constant,linear,displacement,4,5
447,8.29593142863696e-07,1000,5224.26061558919,36390.5260070398,-999.9998,-0.000199999999787926,constant,linear,displacement,4,5
487,8.29593142863343e-07,1000,5224.26061558918,36390.5260070397,-999.9998,-0.000199999999675877,constant,linear,displacement,4,5
327,8.29593142860307e-07,1000,5224.26061558919,36390.5260070397,-999.9998,-0.000199999999999987,constant,linear,density,4,20
367,8.29593142862108e-07,999.999999999999,5224.26061558918,36390.5260070397,-999.9998,-0.000199999999951335,constant,linear,density,4,20
407,8.29593142863245e-07,1000,5224.26061558918,36390.5260070398,-999.9998,-0.000199999999881112,constant,linear,density,4,20
447,8.29593142863648e-07,1000,5224.26061558919,36390.5260070398,-999.9998,-0.00019999999978793,constant,linear,density,4,20
487,8.29593142863295e-07,1000,5224.26061558918,36390.5260070397,-999.9998,-0.000199999999675881,constant,linear,density,4,20
327,8.29593142860307e-07,1000,5224.26061558919,36390.5260070397,-999.9998,-0.000199999999999987,constant,linear,density,4,10
367,8.2959314286211e-07,999.999999999999,5224.26061558918,36390.5260070397,-999.9998,-0.000199999999951335,constant,linear,density,4,10
407,8.29593142863246e-07,1000,5224.26061558918,36390.5260070398,-999.9998,-0.000199999999881112,constant,linear,density,4,10
447,8.29593142863649e-07,1000,5224.26061558919,36390.5260070398,-999.9998,-0.00019999999978793,constant,linear,density,4,10
487,8.29593142863295e-07,1000,5224.26061558918,36390.5260070397,-999.9998,-0.000199999999675881,constant,linear,density,4,10
327,8.29593142860307e-07,1000,5224.26061558919,36390.5260070397,-999.9998,-0.000199999999999987,constant,linear,density,4,5
367,8.29593142862108e-07,999.999999999999,5224.26061558918,36390.5260070397,-999.9998,-0.000199999999951335,constant,linear,density,4,5
407,8.29593142863246e-07,1000,5224.26061558918,36390.5260070398,-999.9998,-0.000199999999881112,constant,linear,density,4,5
447,8.29593142863648e-07,1000,5224.26061558919,36390.5260070398,-999.9998,-0.00019999999978793,constant,linear,density,4,5
