time,energy,volume,densityMoment,densitySquaredMoment,minimumLabel,maximumLabel,profile,caseName,variant,config,deltaT
407,0.829594209617156,999.999999999998,5223.91518721021,36380.353745851,-999.800031799574,-0.199970178525999,constant,waves,density,3,20
447,0.829594216434321,999.999999999999,5223.91510124673,36380.3529940407,-999.800036353226,-0.199965715692958,constant,waves,density,3,20
487,0.829594210490385,1000,5223.9151766837,36380.3536535826,-999.80003286782,-0.199968677999594,constant,waves,density,3,20
327,0.829594160240661,1000,5223.91581449144,36380.3592312714,-999.8,-0.199999999999988,constant,waves,density,3,10
367,0.829594190477368,1000,5223.9154296174,36380.3558656688,-999.800019450234,-0.199981823155596,constant,waves,density,3,10
407,0.8295942096171,1000,5223.9151872102,36380.3537458508,-999.800031799572,-0.199970178528006,constant,waves,density,3,10
447,0.829594216434189,1000,5223.91510124672,36380.3529940406,-999.800036353224,-0.199965715695255,constant,waves,density,3,10
487,0.829594210490222,1000,5223.91517668369,36380.3536535825,-999.800032867818,-0.199968678001673,constant,waves,density,3,10
327,0.829594160240661,1000,5223.91581449144,36380.3592312714,-999.8,-0.199999999999988,constant,waves,density,3,5
367,0.829594190477362,1000,5223.9154296174,36380.3558656687,-999.800019450234,-0.199981823155672,constant,waves,density,3,5
407,0.829594209617081,1000,5223.9151872102,36380.3537458508,-999.800031799572,-0.199970178528131,constant,waves,density,3,5
447,0.829594216434182,1000,5223.91510124672,36380.3529940406,-999.800036353223,-0.199965715695399,constant,waves,density,3,5
487,0.829594210490221,1000,5223.91517668369,36380.3536535825,-999.800032867817,-0.199968678001803,constant,waves,density,3,5
327,0.82959416024071,1000,5223.91581449144,36380.3592312714,-999.8,-0.199999999999994,constant,waves,displacement,4,20
367,0.829594161961176,1000,5223.91581452663,36380.3592217918,-999.800000098853,-0.199999951318029,constant,waves,displacement,4,20
407,0.829594163040564,1000,5223.91581454932,36380.3592158261,-999.800000172657,-0.199999881107136,constant,waves,displacement,4,20
447,0.829594163422768,999.999999999999,5223.91581455829,36380.3592137185,-999.800000218468,-0.19999978793181,constant,waves,displacement,4,20
