deltaT,duration,acceptedRHS,rejectedRHS,evolutionSeconds,diagnosticSeconds,comparisonSeconds,wallSeconds,velocityError,densityError,sshError,initialVelocityError,initialDensityError,initialSSHError,energyInitial,energyChange,volumeChange,densityMomentChange,densitySquaredMomentChange,minimumLabel,maximumLabel,profile,caseName,variant,config,setupSeconds
5,160,128,0,0.764005166666667,0.0196035416666667,0.0284253333333333,0.813225708333333,6.93071039230959e-12,7.08753260271967e-13,5.31579459776315e-11,2.96656557784786e-20,6.97075989188265e-13,5.47611285936692e-20,8.29593142860354e-07,2.98917927086043e-18,1.02318153949454e-12,-7.27595761418343e-12,-5.0931703299284e-11,-999.9998,-0.000199999999675877,constant,linear,displacement,4,13.2441024166667
20,160,32,0,0.201507875,0.0197432083333333,0.0283085416666667,0.250680541666667,6.93142234006137e-12,7.08704358901888e-13,5.31689003630875e-11,2.73969016757691e-16,6.97075989188265e-13,2.72735730214945e-18,8.29593142860307e-07,2.98833223791317e-18,1.02318153949454e-12,-7.27595761418343e-12,-4.36557456851006e-11,-999.9998,-0.000199999999675881,constant,linear,density,4,13.2444164166667
10,160,64,0,0.399768833333333,0.0195985,0.0278665833333333,0.448358583333333,6.93060978772295e-12,7.08600902575784e-13,5.3157296367024e-11,2.73969016757691e-16,6.97075989188265e-13,2.72735730214945e-18,8.29593142860307e-07,2.98812047967636e-18,1.13686837721616e-12,-7.27595761418343e-12,-5.0931703299284e-11,-999.9998,-0.000199999999675881,constant,linear,density,4,13.2444164166667
5,160,128,0,0.805156416666666,0.01980125,0.0278964166666667,0.8539785,6.93071178465739e-12,7.08753260271967e-13,5.31579469155919e-11,2.73969016757691e-16,6.97075989188265e-13,2.72735730214945e-18,8.29593142860307e-07,2.98769696320273e-18,1.02318153949454e-12,-7.27595761418343e-12,-5.0931703299284e-11,-999.9998,-0.000199999999675881,constant,linear,density,4,13.2444164166667
20,160,32,0,0.5387895,0.0544997916666667,0.070036,0.664454833333333,6.05670641768816e-15,3.39498798436231e-14,5.79876752631494e-14,0,0,0,8.29593199635862e-07,2.61627301583172e-19,6.82121026329696e-13,-1.2732925824821e-11,-2.11002770811319e-10,-999.9998,-0.00019999999990903,constant,linear,displacement,5,29.4387490416667
10,160,64,0,1.07447154166667,0.05643625,0.0773035833333333,1.209577625,1.06816372280768e-15,2.043700176678e-14,1.11841910726549e-14,0,0,0,8.29593199635862e-07,2.61521422464765e-19,6.82121026329696e-13,-1.2732925824821e-11,-2.11002770811319e-10,-999.9998,-0.00019999999990903,constant,linear,displacement,5,29.4387490416667
5,160,128,0,2.12184345833333,0.0536905833333333,0.0702091666666667,2.24725708333333,3.64451730820537e-16,1.63821811895003e-14,3.28979491129897e-15,0,0,0,8.29593199635862e-07,2.63956642188121e-19,6.82121026329696e-13,-1.2732925824821e-11,-2.11002770811319e-10,-999.9998,-0.00019999999990903,constant,linear,displacement,5,29.4387490416667
20,160,32,0,0.552447833333333,0.054854125,0.0719772083333333,0.680385791666667,6.08167111964262e-15,3.41586435625534e-14,5.79876772325665e-14,5.50487482814392e-16,0,2.87193275405877e-18,8.29593199635813e-07,2.62474334530426e-19,6.82121026329696e-13,-1.2732925824821e-11,-2.11002770811319e-10,-999.9998,-0.000199999999909035,constant,linear,density,5,29.439202
10,160,64,0,1.10133608333333,0.0556085,0.0714805833333333,1.22968808333333,1.20166758676446e-15,2.043700176678e-14,1.11841868974248e-14,5.50487482814392e-16,0,2.87193275405877e-18,8.29593199635813e-07,2.63744883951308e-19,6.82121026329696e-13,-1.2732925824821e-11,-2.11002770811319e-10,-999.9998,-0.000199999999909035,constant,linear,density,5,29.439202
5,160,128,0,2.19990966666667,0.054205625,0.0712124166666667,2.32686533333333,6.60196117023554e-16,1.58864706057973e-14,3.28979504879308e-15,5.50487482814392e-16,0,2.87193275405877e-18,8.29593199635813e-07,2.63956642188121e-19,6.82121026329696e-13,-1.2732925824821e-11,-2.11002770811319e-10,-999.9998,-0.000199999999909035,constant,linear,density,5,29.439202
