deltaT,duration,acceptedRHS,rejectedRHS,evolutionSeconds,diagnosticSeconds,comparisonSeconds,wallSeconds,velocityError,densityError,sshError,initialVelocityError,initialDensityError,initialSSHError,energyInitial,energyChange,volumeChange,densityMomentChange,densitySquaredMomentChange,minimumLabel,maximumLabel,scenario,form,config
10,2000,800,0,6.33089158333333,0.241711125,0.391053375,6.977178125,1.89756379682621e-07,2.77703664994181e-07,3.98940167930573e-07,3.37748147465305e-16,7.37113766601739e-13,5.19831397816476e-17,1.17345085991911,-5.92409410415939e-09,1.81898940354586e-12,-2.03920262720203e-06,8.27369149192236e-07,-999.800001121974,-0.199987920224287,waves,advective,2
20,2000,400,0,3.745683375,0.233748791666667,0.38321975,4.377001625,1.89755534474859e-07,2.77703658407778e-07,3.98984930603881e-07,3.37748147465305e-16,7.37113766601739e-13,5.19831397816476e-17,1.17345085991911,-5.92372217944614e-09,1.02318153949454e-12,-2.0392649275891e-06,8.26994437375106e-07,-999.800001121974,-0.199987920224077,waves,split,2
10,2000,800,0,7.49747679166667,0.241593916666667,0.374634875,8.12760845833333,1.8975637971234e-07,2.77703664077051e-07,3.98940166909809e-07,3.37748147465305e-16,7.37113766601739e-13,5.19831397816476e-17,1.17345085991911,-5.92409521438242e-09,1.81898940354586e-12,-2.03920262720203e-06,8.2737096818164e-07,-999.800001121974,-0.199987920224279,waves,split,2
20,2000,400,0,3.38729720833333,0.232083833333333,0.362501291666667,3.994396375,1.89755534474842e-07,2.77703658407778e-07,3.98984930603881e-07,3.37748147465305e-16,7.37113766601739e-13,5.19831397816476e-17,1.17345085991911,-5.92372217944614e-09,1.02318153949454e-12,-2.0392649275891e-06,8.26994437375106e-07,-999.800001121974,-0.199987920224077,waves,compatible,2
10,2000,800,0,6.93108925,0.231437333333333,0.362401041666667,7.53906795833333,1.89756379712342e-07,2.77703664077051e-07,3.98940166909619e-07,3.37748147465305e-16,7.37113766601739e-13,5.19831397816476e-17,1.17345085991911,-5.92409521438242e-09,1.81898940354586e-12,-2.03920262720203e-06,8.2737096818164e-07,-999.800001121974,-0.199987920224279,waves,compatible,2
20,2000,400,0,1.07735220833333,0.100204041666667,0.1546695,1.33986491666667,4.63096663869041e-06,6.25596314356569e-06,1.31974109267643e-06,3.31148807628514e-14,1.25995933859203e-10,5.41259046215768e-17,1.17546558336376,2.28565475435261e-08,-9.09494701772928e-13,0.00114388332622184,0.00552353313833009,-999.809692073041,-0.179973731799518,mixed,divergence,1
10,2000,800,0,2.21818075,0.0969986666666667,0.150107,2.47328470833333,4.63096662544411e-06,6.25596307992331e-06,1.31979434582121e-06,3.31148807628514e-14,1.25995933859203e-10,5.41259046215768e-17,1.17546558336376,2.28502798904628e-08,-6.82121026329696e-13,0.0011438833162174,0.00552353313105414,-999.809692073037,-0.17997373180501,mixed,divergence,1
20,2000,400,0,1.04067495833333,0.0889358333333333,0.152403625,1.287618125,4.63096663492202e-06,6.25596314555163e-06,1.3197418629533e-06,3.31148807628514e-14,1.25995933859203e-10,5.41259046215768e-17,1.17546558336376,2.28565455451246e-08,-1.02318153949454e-12,0.00114388332349336,0.0055235331201402,-999.809692073041,-0.179973731801705,mixed,advective,1
10,2000,800,0,1.979425125,0.091257125,0.139006416666667,2.21525054166667,4.63096662167578e-06,6.25596308181504e-06,1.31979511608694e-06,3.31148807628514e-14,1.25995933859203e-10,5.41259046215768e-17,1.17546558336376,2.28502772259276e-08,-6.82121026329696e-13,0.00114388331758164,0.00552353317289089,-999.809692073037,-0.179973731807196,mixed,advective,1
20,2000,400,0,1.33035504166667,0.0933056666666667,0.176270208333333,1.61265279166667,4.63096663680175e-06,6.2559631484908e-06,1.31974147779289e-06,3.31148807628514e-14,1.25995933859203e-10,5.41259046215768e-17,1.17546558336376,2.28565466553476e-08,-1.13686837721616e-12,0.00114388332713133,0.00552353314014908,-999.809692073041,-0.179973731800611,mixed,split,1
