nx,nz,scenario,form,rmsError,maxError,scalarBudgetDefect
16,17,oscillatory,split,2.23006899903191e-07,9.02221118396138e-07,-8.67361737988404e-18
16,17,oscillatory,compatible,2.57597664886834e-07,9.02221118396138e-07,8.67361737988404e-19
16,17,boundary,divergence,3.49878902372154e-09,2.00987704891188e-08,-2.22803332589061e-08
16,17,boundary,advective,1.29995687370358e-09,4.65330846030609e-09,-2.43946105568486e-08
16,17,boundary,split,1.50118722293447e-09,1.00493852445662e-08,-2.33374719082568e-08
16,17,boundary,compatible,7.46864978835379e-08,2.90813570371052e-07,4.33680868994202e-19
16,33,oscillatory,divergence,2.80613012981107e-17,1.38937120272228e-16,-4.33680868994202e-18
16,33,oscillatory,advective,2.06201393458684e-19,8.13151629364128e-19,5.20417042793042e-18
16,33,oscillatory,split,1.40631627752271e-17,6.94736423337977e-17,5.20417042793042e-18
16,33,oscillatory,compatible,9.9813087814984e-09,3.21380753602569e-08,0
16,33,boundary,divergence,2.30386697946786e-19,1.5161889755852e-18,-1.96652590045421e-15
16,33,boundary,advective,2.43369782833447e-19,8.25769442428012e-19,-1.96603800947659e-15
16,33,boundary,split,1.27905380260007e-19,7.64023718423379e-19,-1.96630906001971e-15
16,33,boundary,compatible,1.31255997635739e-08,5.13859275138614e-08,1.0842021724855e-19
16,65,oscillatory,divergence,1.04583495260255e-18,1.52635337095225e-17,-4.33680868994202e-18
16,65,oscillatory,advective,2.27075900429648e-19,1.0842021724855e-18,8.67361737988404e-18
16,65,oscillatory,split,5.59521573194994e-19,7.62668465707772e-18,2.60208521396521e-18
16,65,oscillatory,compatible,2.41512495348081e-09,8.53412207888577e-09,-2.60208521396521e-18
16,65,boundary,divergence,5.37207554733079e-19,6.20705743747951e-18,2.16840434497101e-19
16,65,boundary,advective,8.01524956786983e-20,6.50521303491303e-19,7.58941520739853e-19
16,65,boundary,split,2.78301901558394e-19,3.09675245516172e-18,5.42101086242752e-19
16,65,boundary,compatible,2.93534146812228e-09,1.15018339097015e-08,0
32,9,oscillatory,divergence,8.99186984158709e-05,0.000313232961225229,-1.04083408558608e-17
32,9,oscillatory,advective,3.37042078225962e-05,0.000145602779745399,6.93889390390723e-18
32,9,oscillatory,split,5.78672117070402e-05,0.000181729066910157,3.46944695195361e-18
32,9,oscillatory,compatible,6.34745720838967e-05,0.000197883610682396,-5.20417042793042e-18
32,9,boundary,divergence,2.04572429233908e-06,1.38297824630266e-05,-3.52417739166405e-06
32,9,boundary,advective,9.13428996515103e-07,4.16213537715997e-06,-1.10230261197167e-05
32,9,boundary,split,1.00196062486696e-06,6.91489123151333e-06,-7.27360175569071e-06
32,9,boundary,compatible,1.21357156481595e-06,6.91489123151333e-06,-1.0842021724855e-19
