profile,amplitude,time,config,form,family,rmsError,referenceRMS
constant,0.0001,327,6,divergence,Aw_p,1.2778081083444e-16,1.60491284300741e-14
constant,0.0001,327,6,divergence,Aw_m,1.27780810834439e-16,8.17185504999165e-15
constant,0.0001,327,6,divergence,Aio,5.41966917126505e-27,3.55607480344103e-13
constant,0.0001,327,6,divergence,Amda,9.89449653238523e-25,1.15039457293025e-13
constant,0.0001,327,6,advective,Ag_q,8.53516044570465e-31,4.87731145211272e-20
constant,0.0001,327,6,advective,Ag_0,1.32355153471358e-26,8.37324652982251e-18
constant,0.0001,327,6,advective,Aw_p,1.2778081083444e-16,1.60491284300741e-14
constant,0.0001,327,6,advective,Aw_m,1.27780810834439e-16,8.17185504999165e-15
constant,0.0001,327,6,advective,Aio,5.40352536553043e-27,3.55607480344103e-13
constant,0.0001,327,6,advective,Amda,9.76498342852081e-25,1.15039457293025e-13
constant,0.0001,327,6,split,Ag_q,8.4941787264566e-31,4.87731145211272e-20
constant,0.0001,327,6,split,Ag_0,1.31758502518533e-26,8.37324652982251e-18
constant,0.0001,327,6,split,Aw_p,1.2778081083444e-16,1.60491284300741e-14
constant,0.0001,327,6,split,Aw_m,1.27780810834439e-16,8.17185504999165e-15
constant,0.0001,327,6,split,Aio,5.40838173485278e-27,3.55607480344103e-13
constant,0.0001,327,6,split,Amda,9.82965196501486e-25,1.15039457293025e-13
constant,0.0001,327,6,compatible,Ag_q,8.49425349446476e-31,4.87731145211272e-20
constant,0.0001,327,6,compatible,Ag_0,1.31758529761933e-26,8.37324652982251e-18
constant,0.0001,327,6,compatible,Aw_p,1.2778081083444e-16,1.60491284300741e-14
constant,0.0001,327,6,compatible,Aw_m,1.27780810834439e-16,8.17185504999165e-15
constant,0.0001,327,6,compatible,Aio,5.54744817944109e-27,3.55607480344103e-13
constant,0.0001,327,6,compatible,Amda,9.8298321353917e-25,1.15039457293025e-13
constant,0.0001,327,7,divergence,Ag_q,0,4.87731145211272e-20
constant,0.0001,327,7,divergence,Ag_0,0,8.37324652982251e-18
constant,0.0001,327,7,divergence,Aw_p,0,1.60491284300741e-14
constant,0.0001,327,7,divergence,Aw_m,0,8.17185504999165e-15
constant,0.0001,327,7,divergence,Aio,0,3.55607480344103e-13
constant,0.0001,327,7,divergence,Amda,0,1.15039457293025e-13
constant,0.0001,327,7,advective,Ag_q,8.53224403862286e-31,4.87731145211272e-20
constant,0.0001,327,7,advective,Ag_0,1.26727791206967e-26,8.37324652982251e-18
constant,0.0001,327,7,advective,Aw_p,5.13575089769038e-29,1.60491284300741e-14
constant,0.0001,327,7,advective,Aw_m,2.73596461960301e-29,8.17185504999165e-15
constant,0.0001,327,7,advective,Aio,1.02031504836847e-27,3.55607480344103e-13
constant,0.0001,327,7,advective,Amda,9.76960299907412e-25,1.15039457293025e-13
constant,0.0001,327,7,split,Ag_q,4.26621121339435e-31,4.87731145211272e-20
constant,0.0001,327,7,split,Ag_0,6.33639023118792e-27,8.37324652982251e-18
constant,0.0001,327,7,split,Aw_p,3.0256250755854e-29,1.60491284300741e-14
constant,0.0001,327,7,split,Aw_m,1.160540921009e-29,8.17185504999165e-15
constant,0.0001,327,7,split,Aio,5.57231987217157e-28,3.55607480344103e-13
constant,0.0001,327,7,split,Amda,4.88491894878856e-25,1.15039457293025e-13
constant,0.0001,327,7,compatible,Ag_q,4.26640955890952e-31,4.87731145211272e-20
constant,0.0001,327,7,compatible,Ag_0,6.33638581586229e-27,8.37324652982251e-18
constant,0.0001,327,7,compatible,Aw_p,5.51093858653678e-29,1.60491284300741e-14
constant,0.0001,327,7,compatible,Aw_m,8.76566271895698e-29,8.17185504999165e-15
