profile,amplitude,time,config,form,field,rmsError,maxError,referenceRMS
constant,0.0001,901,7,compatible,u,1.18947650606923e-19,2.58647803315021e-19,9.29539391521568e-14
constant,0.0001,901,7,compatible,v,6.91103399726526e-20,1.74337743570832e-19,3.21311355482931e-14
constant,0.0001,901,7,compatible,w,8.04273543518884e-22,1.87839518994532e-21,6.20802261349124e-10
constant,0.0001,901,7,compatible,eta,2.15135333833507e-18,4.46071879998947e-18,1.40602899283403e-12
constant,0.1,327,1,divergence,u,1.85817524092951e-15,2.96431202465537e-15,8.57498123008983e-08
constant,0.1,327,1,divergence,v,9.43989739766187e-16,1.54385987603024e-15,3.24344022524932e-08
constant,0.1,327,1,divergence,w,1.71455953773829e-16,3.93667032565909e-16,2.69958005139864e-06
constant,0.1,327,1,divergence,eta,1.02305876928874e-16,2.48242864145019e-16,1.60852115011126e-06
constant,0.1,327,1,advective,u,9.53964695779184e-19,6.30065457815111e-18,8.57498123008983e-08
constant,0.1,327,1,advective,v,4.4737215313646e-19,2.76868600677829e-18,3.24344022524932e-08
constant,0.1,327,1,advective,w,1.0173498491818e-17,7.8830014591283e-17,2.69958005139864e-06
constant,0.1,327,1,advective,eta,6.16987812011293e-17,2.66686106598975e-16,1.60852115011126e-06
constant,0.1,327,1,split,u,9.29096558757919e-16,1.48530633961676e-15,8.57498123008983e-08
constant,0.1,327,1,split,v,4.71995593627708e-16,7.73209696437762e-16,3.24344022524932e-08
constant,0.1,327,1,split,w,8.62017485189276e-17,2.27384300624522e-16,2.69958005139864e-06
constant,0.1,327,1,split,eta,5.66811919098828e-17,1.79397819519757e-16,1.60852115011126e-06
constant,0.1,327,1,compatible,u,3.54988792211088e-11,6.42761147848378e-11,8.57498123008983e-08
constant,0.1,327,1,compatible,v,2.05572319230062e-11,4.8230981666937e-11,3.24344022524932e-08
constant,0.1,327,1,compatible,w,2.41555283480431e-13,5.18094698202954e-13,2.69958005139864e-06
constant,0.1,327,1,compatible,eta,6.44923626497492e-10,1.11320449471183e-09,1.60852115011126e-06
constant,0.1,327,2,divergence,u,1.84558204594711e-15,2.95096257364841e-15,8.54520270991714e-08
constant,0.1,327,2,divergence,v,9.33785260343273e-16,1.53131813711293e-15,3.22627737771233e-08
constant,0.1,327,2,divergence,w,1.6896732606952e-16,3.92884374122646e-16,1.93771774516684e-06
constant,0.1,327,2,divergence,eta,4.35245448498259e-17,2.66388480397133e-16,1.63270618303292e-06
constant,0.1,327,2,advective,u,7.4366264083835e-19,6.30584265495305e-18,8.54520270991714e-08
constant,0.1,327,2,advective,v,2.5528282857538e-19,2.75971936893822e-18,3.22627737771233e-08
constant,0.1,327,2,advective,w,7.39959331426042e-18,8.05417747062747e-17,1.93771774516684e-06
constant,0.1,327,2,advective,eta,4.35729368063789e-17,2.66686635994567e-16,1.63270618303292e-06
constant,0.1,327,2,split,u,9.22799952822608e-16,1.47863420815168e-15,8.54520270991714e-08
constant,0.1,327,2,split,v,4.66892890946155e-16,7.66939429166594e-16,3.22627737771233e-08
constant,0.1,327,2,split,w,8.47377607938539e-17,2.2659825404947e-16,1.93771774516684e-06
constant,0.1,327,2,split,eta,4.3548738418154e-17,2.66537664074969e-16,1.63270618303292e-06
constant,0.1,327,2,compatible,u,8.13825981207784e-12,1.45199980969515e-11,8.54520270991714e-08
constant,0.1,327,2,compatible,v,4.72053595425065e-12,1.09123045712476e-11,3.22627737771233e-08
constant,0.1,327,2,compatible,w,5.51549689539666e-14,1.18419422002779e-13,1.93771774516684e-06
constant,0.1,327,2,compatible,eta,1.4737101244911e-10,2.54849812782567e-10,1.63270618303292e-06
constant,0.1,327,3,divergence,u,5.93248133441374e-19,5.81551645761121e-18,8.5452027099167e-08
constant,0.1,327,3,divergence,v,2.26235322134517e-19,2.86760688187228e-18,3.22627737771232e-08
constant,0.1,327,3,divergence,w,7.38831309180493e-18,8.88304139572705e-17,1.93771486998326e-06
constant,0.1,327,3,divergence,eta,4.35303706774754e-17,3.33043977940967e-16,1.63270618303292e-06
constant,0.1,327,3,advective,u,5.92917347291222e-19,5.81437825708834e-18,8.5452027099167e-08
constant,0.1,327,3,advective,v,2.26150221481807e-19,2.8671602043415e-18,3.22627737771232e-08
constant,0.1,327,3,advective,w,7.38831078595055e-18,8.88303734254205e-17,1.93771486998326e-06
constant,0.1,327,3,advective,eta,4.35786420812602e-17,3.33369662109186e-16,1.63270618303292e-06
constant,0.1,327,3,split,u,5.93081644144389e-19,5.81496059223958e-18,8.5452027099167e-08
constant,0.1,327,3,split,v,2.26191913835015e-19,2.86738188874567e-18,3.22627737771232e-08
constant,0.1,327,3,split,w,7.38831083659387e-18,8.88303932777552e-17,1.93771486998326e-06
constant,0.1,327,3,split,eta,4.35545031399949e-17,3.33206820025077e-16,1.63270618303292e-06
constant,0.1,327,3,compatible,u,8.13825975976188e-12,1.7813632478407e-11,8.5452027099167e-08
constant,0.1,327,3,compatible,v,4.72053593116502e-12,1.20384839668784e-11,3.22627737771232e-08
constant,0.1,327,3,compatible,w,5.51549039675339e-14,1.30265530781037e-13,1.93771486998326e-06
constant,0.1,327,3,compatible,eta,1.47371012449236e-10,3.0786805595402e-10,1.63270618303292e-06
constant,0.1,327,4,divergence,u,4.23181365117853e-19,5.88777895592385e-18,8.52958484040308e-08
constant,0.1,327,4,divergence,v,1.63982236354677e-19,2.92014277693675e-18,3.21726341728698e-08
