family,absoluteError,referenceNorm,relativeError,referenceChange,allowanceFraction,referenceFraction,profile,amplitude,time,direction,count,status,referenceNz,withoutBuoyancyError,minimumGamma,maximumSSHOverDepth
Aio,5.11228224944823e-24,6.07380887208267e-09,8.4169297340686e-16,6.22833758143288e-23,1.1096109276247e-11,1.02544164414176e-09,constant,0.01,327,horizontal,24,assessed,1025,8.4169297340686e-16,0.999971783713228,2.82162867718533e-05
Amda,3.29412905175495e-21,1.42889198720072e-09,2.30537303117525e-12,4.85659053273439e-19,3.4219020367864e-07,3.39884832260862e-05,constant,0.01,327,horizontal,24,assessed,1025,2.30537303117525e-12,0.999971783713228,2.82162867718533e-05
Ag_q,5.92733797036818e-27,1.85407120953713e-14,3.1969311318134e-13,2.7030127355178e-23,1.38357571419071e-06,0.000138327238143899,constant,0.01,327,horizontal,32,assessed,1025,3.1969311318134e-13,0.999971840673305,2.81593266953226e-05
Ag_0,1.46565397689534e-22,2.59122821607734e-12,5.65621340413651e-11,3.80379371497923e-19,0.000146794921271029,0.0146738380956877,constant,0.01,327,horizontal,32,assessed,1025,5.65621340413651e-11,0.999971840673305,2.81593266953226e-05
Aw_p,5.83983069082923e-16,7.03471790234882e-09,8.30144260493996e-08,1.86968790156941e-14,0.00274081485734126,0.265780044309253,constant,0.01,327,horizontal,32,assessed,1025,7.6232496690382e-16,0.999971840673305,2.81593266953226e-05
Aw_m,5.83983069067253e-16,3.58373666432905e-09,1.62953677618103e-07,1.86968790153267e-14,0.0053800986261654,0.521714499401761,constant,0.01,327,horizontal,32,assessed,1025,1.73949424092621e-15,0.999971840673305,2.81593266953226e-05
Aio,2.50012629276636e-24,6.07380887208267e-09,4.11624130001489e-16,6.22833758143288e-23,1.06660405036487e-11,1.02544164414176e-09,constant,0.01,327,horizontal,32,assessed,1025,4.11624130001489e-16,0.999971840673305,2.81593266953226e-05
Amda,1.21754574576578e-21,1.42889198720072e-09,8.52090820490233e-13,4.85659053273439e-19,3.40736922485023e-07,3.39884832260862e-05,constant,0.01,327,horizontal,32,assessed,1025,8.52090820490233e-13,0.999971840673305,2.81593266953226e-05
Ag_q,2.10411938228733e-26,1.85407120953713e-14,1.13486438463851e-12,2.7030127355178e-23,1.38434916890304e-06,0.000138327238143899,constant,0.01,327,horizontal,48,assessed,1025,1.13486438463851e-12,0.999971783713228,2.82162867718533e-05
Ag_0,3.7856865376531e-22,2.59122821607734e-12,1.46096222407765e-10,3.80379371497923e-19,0.000146884420819964,0.0146738380956877,constant,0.01,327,horizontal,48,assessed,1025,1.46096222407765e-10,0.999971783713228,2.82162867718533e-05
Aw_p,1.62976102516944e-16,7.03471790234882e-09,2.31673970128252e-08,1.86968790156941e-14,0.00268096783681206,0.265780044309253,constant,0.01,327,horizontal,48,assessed,1025,8.13691895489037e-16,0.999971783713228,2.82162867718533e-05
Aw_m,1.6297610250444e-16,3.58373666432905e-09,4.54765842944414e-08,1.86968790153267e-14,0.00526262156562235,0.521714499401761,constant,0.01,327,horizontal,48,assessed,1025,1.44286278733011e-15,0.999971783713228,2.82162867718533e-05
Aio,1.90224577227562e-24,6.07380887208267e-09,3.13188283058923e-16,6.22833758143288e-23,1.05676046729127e-11,1.02544164414176e-09,constant,0.01,327,horizontal,48,assessed,1025,3.13188283058923e-16,0.999971783713228,2.82162867718533e-05
Amda,7.73778894500356e-21,1.42889198720072e-09,5.41523713080813e-12,4.85659053273439e-19,3.45300065601857e-07,3.39884832260862e-05,constant,0.01,327,horizontal,48,assessed,1025,5.41523713080813e-12,0.999971783713228,2.82162867718533e-05
Ag_q,0,1.85407120953713e-14,0,2.7030127355178e-23,1.38327238143899e-06,0.000138327238143899,constant,0.01,327,horizontal,64,assessed,1025,0,0.999971780255779,2.8219744220725e-05
Ag_0,0,2.59122821607734e-12,0,3.80379371497923e-19,0.000146738380956877,0.0146738380956877,constant,0.01,327,horizontal,64,assessed,1025,0,0.999971780255779,2.8219744220725e-05
Aw_p,0,7.03471790234882e-09,0,1.86968790156941e-14,0.00265780044309253,0.265780044309253,constant,0.01,327,horizontal,64,assessed,1025,0,0.999971780255779,2.8219744220725e-05
Aw_m,0,3.58373666432905e-09,0,1.86968790153267e-14,0.00521714499401761,0.521714499401761,constant,0.01,327,horizontal,64,assessed,1025,0,0.999971780255779,2.8219744220725e-05
Aio,0,6.07380887208267e-09,0,6.22833758143288e-23,1.02544164414176e-11,1.02544164414176e-09,constant,0.01,327,horizontal,64,assessed,1025,0,0.999971780255779,2.8219744220725e-05
Amda,0,1.42889198720072e-09,0,4.85659053273439e-19,3.39884832260862e-07,3.39884832260862e-05,constant,0.01,327,horizontal,64,assessed,1025,0,0.999971780255779,2.8219744220725e-05
Ag_q,7.44692538045131e-18,1.85407120953713e-14,0.000401652608710236,2.7030127355178e-23,0.381099336310402,0.000138327238143899,constant,0.01,327,vertical,9,rejected,1025,0.000401652608710236,0.999971780255779,2.8219744220725e-05
Ag_0,8.35750142767315e-14,2.59122821607734e-12,0.0322530504099131,3.80379371497923e-19,32.2407549372997,0.0146738380956877,constant,0.01,327,vertical,9,rejected,1025,0.0322530504099131,0.999971780255779,2.8219744220725e-05
Aw_p,1.85534737094657e-10,7.03471790234882e-09,0.0263741545389772,1.86968790156941e-14,26.3768085902791,0.265780044309253,constant,0.01,327,vertical,9,rejected,1025,0.000565205041140955,0.999971780255779,2.8219744220725e-05
Aw_m,1.85563770937446e-10,3.58373666432905e-09,0.0517794102408436,1.86968790153267e-14,51.7846129373999,0.521714499401761,constant,0.01,327,vertical,9,rejected,1025,0.00151958189088693,0.999971780255779,2.8219744220725e-05
Aio,1.65521210612263e-12,6.07380887208267e-09,0.00027251633052376,6.22833758143288e-23,0.272516285666569,1.02544164414176e-09,constant,0.01,327,vertical,9,rejected,1025,0.00027251633052376,0.999971780255779,2.8219744220725e-05
Amda,8.60440445614182e-14,1.42889198720072e-09,6.02173189661335e-05,4.85659053273439e-19,0.0602176167083284,3.39884832260862e-05,constant,0.01,327,vertical,9,rejected,1025,6.02173189661335e-05,0.999971780255779,2.8219744220725e-05
Ag_q,3.08938497846364e-21,1.85407120953713e-14,1.66627094071263e-07,2.7030127355178e-23,0.000159483190305895,0.000138327238143899,constant,0.01,327,vertical,13,rejected,1025,1.66627094071263e-07,0.999971780255779,2.8219744220725e-05
Ag_0,3.34751053849379e-17,2.59122821607734e-12,1.29186249120169e-05,3.80379371497923e-19,0.0130603796943725,0.0146738380956877,constant,0.01,327,vertical,13,rejected,1025,1.29186249120169e-05,0.999971780255779,2.8219744220725e-05
Aw_p,8.15833655877039e-11,7.03471790234882e-09,0.01159724763952,1.86968790156941e-14,11.5999037913901,0.265780044309253,constant,0.01,327,vertical,13,rejected,1025,8.67967707593257e-07,0.999971780255779,2.8219744220725e-05
Aw_m,8.15833521717036e-11,3.58373666432905e-09,0.0227648847594603,1.86968790153267e-14,22.77009555218,0.521714499401761,constant,0.01,327,vertical,13,rejected,1025,2.32844267782953e-06,0.999971780255779,2.8219744220725e-05
Aio,2.76295840354011e-15,6.07380887208267e-09,4.54897159546726e-07,6.22833758143288e-23,0.000454897094906279,1.02544164414176e-09,constant,0.01,327,vertical,13,rejected,1025,4.54897159546726e-07,0.999971780255779,2.8219744220725e-05
Amda,4.59697735706101e-17,1.42889198720072e-09,3.2171622475585e-08,4.85659053273439e-19,3.25114847927781e-05,3.39884832260862e-05,constant,0.01,327,vertical,13,rejected,1025,3.2171622475585e-08,0.999971780255779,2.8219744220725e-05
