profile,amplitude,time,direction,count,field,absoluteError,referenceNorm
constant,0.1,327,vertical,49,v,1.48040883623797e-18,4.28591357740973e-07
constant,0.1,327,vertical,49,w,9.33105016954443e-06,1.20622772182122e-05
constant,0.1,327,vertical,49,eta,1.89436693493884e-16,2.07632041245425e-05
constant,0.1,327,vertical,65,u,2.51673754403569e-18,1.00381317779112e-06
constant,0.1,327,vertical,65,v,1.49703909773945e-18,4.28591357740973e-07
constant,0.1,327,vertical,65,w,6.45177371315621e-06,1.20622772182122e-05
constant,0.1,327,vertical,65,eta,1.8748867170179e-16,2.07632041245425e-05
constant,0.1,327,vertical,97,u,2.63857930968067e-18,1.00381317779112e-06
constant,0.1,327,vertical,97,v,1.60791569455777e-18,4.28591357740973e-07
constant,0.1,327,vertical,97,w,3.62467343606987e-06,1.20622772182122e-05
constant,0.1,327,vertical,97,eta,1.90463555033816e-16,2.07632041245425e-05
constant,0.1,327,vertical,129,u,3.00235144574633e-18,1.00381317779112e-06
constant,0.1,327,vertical,129,v,1.84216580360752e-18,4.28591357740973e-07
constant,0.1,327,vertical,129,w,1.67766657340616e-06,1.20622772182122e-05
constant,0.1,327,vertical,129,eta,1.87326601284947e-16,2.07632041245425e-05
constant,0.1,327,vertical,193,u,2.82704317832463e-18,1.00381317779112e-06
constant,0.1,327,vertical,193,v,1.62295537570215e-18,4.28591357740973e-07
constant,0.1,327,vertical,193,w,1.00199407509107e-06,1.20622772182122e-05
constant,0.1,327,vertical,193,eta,2.07378357903219e-16,2.07632041245425e-05
constant,0.1,327,vertical,257,u,0,1.00381317779112e-06
constant,0.1,327,vertical,257,v,0,4.28591357740973e-07
constant,0.1,327,vertical,257,w,0,1.20622772182122e-05
constant,0.1,327,vertical,257,eta,0,2.07632041245425e-05
constant,0.1,901,horizontal,8,u,1.93835265197803e-18,1.06943754232699e-06
constant,0.1,901,horizontal,8,v,5.21854235568403e-19,4.28895825809222e-07
constant,0.1,901,horizontal,8,w,3.64715977632551e-07,1.05073339914005e-05
constant,0.1,901,horizontal,8,eta,1.06020698993549e-17,1.61142526711617e-05
constant,0.1,901,horizontal,12,u,9.07458369561206e-20,1.06943754232699e-06
