family,absoluteError,referenceNorm,relativeError,referenceChange,allowanceFraction,referenceFraction,profile,amplitude,time,count,order,status
Aw_p,1.65426492137866e-10,6.99885208430856e-09,0.0236362320770791,3.43478469742285e-18,23.6362291906851,4.90763937469075e-05,constant,0.01,901,9,0,rejected
Aw_m,1.65476439752529e-10,3.54633755059964e-09,0.0466612208768873,3.434784699646e-18,46.6612086878547,9.68543936411605e-05,constant,0.01,901,9,0,rejected
Aio,1.65592819120914e-12,5.8609938698023e-09,0.00028253368421711,1.186221849126e-23,0.282533636013379,2.02392575915361e-10,constant,0.01,901,9,0,rejected
Amda,1.18426451097523e-13,7.83999809090773e-10,0.000151054183590765,8.44784935444219e-22,0.151053991997342,1.07753069339806e-07,constant,0.01,901,9,0,rejected
Ag_q,7.35899336986059e-18,1.86025182566931e-14,0.000395591245675184,3.6596171799958e-26,0.37541061357992,1.86691175698625e-07,constant,0.01,901,9,8,rejected
Ag_0,8.68293887494887e-14,2.85649622451805e-12,0.0303971655919618,4.33204711475167e-22,30.3865280512622,1.51602898984839e-05,constant,0.01,901,9,8,rejected
Aw_p,3.95950662863151e-12,6.99885208430856e-09,0.000565736578075244,3.43478469742285e-18,0.565736988006426,4.90763937469075e-05,constant,0.01,901,9,8,rejected
Aw_m,5.42970837678967e-12,3.54633755059964e-09,0.00153107489045186,3.434784699646e-18,1.53107542726181,9.68543936411605e-05,constant,0.01,901,9,8,rejected
Aio,1.65592819120914e-12,5.8609938698023e-09,0.00028253368421711,1.186221849126e-23,0.282533636013379,2.02392575915361e-10,constant,0.01,901,9,8,rejected
Amda,1.18426451097523e-13,7.83999809090773e-10,0.000151054183590765,8.44784935444219e-22,0.151053991997342,1.07753069339806e-07,constant,0.01,901,9,8,rejected
Ag_q,7.35899336986059e-18,1.86025182566931e-14,0.000395591245675184,3.6596171799958e-26,0.37541061357992,1.86691175698625e-07,constant,0.01,901,9,16,rejected
Ag_0,8.68293887494887e-14,2.85649622451805e-12,0.0303971655919618,4.33204711475167e-22,30.3865280512622,1.51602898984839e-05,constant,0.01,901,9,16,rejected
Aw_p,3.95950662863151e-12,6.99885208430856e-09,0.000565736578075244,3.43478469742285e-18,0.565736988006426,4.90763937469075e-05,constant,0.01,901,9,16,rejected
Aw_m,5.42970837678967e-12,3.54633755059964e-09,0.00153107489045186,3.434784699646e-18,1.53107542726181,9.68543936411605e-05,constant,0.01,901,9,16,rejected
Aio,1.65592819120914e-12,5.8609938698023e-09,0.00028253368421711,1.186221849126e-23,0.282533636013379,2.02392575915361e-10,constant,0.01,901,9,16,rejected
Amda,1.18426451097523e-13,7.83999809090773e-10,0.000151054183590765,8.44784935444219e-22,0.151053991997342,1.07753069339806e-07,constant,0.01,901,9,16,rejected
Ag_q,3.05420401686128e-21,1.86025182566931e-14,1.64182288371758e-07,3.6596171799958e-26,0.000155808584031811,1.86691175698625e-07,constant,0.01,901,13,0,rejected
Ag_0,4.01748615903301e-17,2.85649622451805e-12,1.40643846280975e-05,4.33204711475167e-22,0.0140596143051134,1.51602898984839e-05,constant,0.01,901,13,0,rejected
Aw_p,7.27287116728787e-11,6.99885208430856e-09,0.0103915200373982,3.43478469742285e-18,10.391519043416,4.90763937469075e-05,constant,0.01,901,13,0,rejected
Aw_m,7.27287267694453e-11,3.54633755059964e-09,0.0205081230231871,3.434784699646e-18,20.5081182088305,9.68543936411605e-05,constant,0.01,901,13,0,rejected
Aio,2.76383955823409e-15,5.8609938698023e-09,4.7156499727363e-07,1.186221849126e-23,0.000471564918839373,2.02392575915361e-10,constant,0.01,901,13,0,rejected
Amda,6.51857941364566e-17,7.83999809090773e-10,8.31451658286173e-08,8.44784935444219e-22,8.31461373069127e-05,1.07753069339806e-07,constant,0.01,901,13,0,rejected
Ag_q,3.05420401686128e-21,1.86025182566931e-14,1.64182288371758e-07,3.6596171799958e-26,0.000155808584031811,1.86691175698625e-07,constant,0.01,901,13,8,assessed
Ag_0,4.01748615903301e-17,2.85649622451805e-12,1.40643846280975e-05,4.33204711475167e-22,0.0140596143051134,1.51602898984839e-05,constant,0.01,901,13,8,assessed
Aw_p,6.06739993001112e-15,6.99885208430856e-09,8.66913581959283e-07,3.43478469742285e-18,0.000867404222031659,4.90763937469075e-05,constant,0.01,901,13,8,assessed
Aw_m,8.34820465134293e-15,3.54633755059964e-09,2.35403554575096e-06,3.434784699646e-18,0.00235500342589413,9.68543936411605e-05,constant,0.01,901,13,8,assessed
Aio,2.76383955823409e-15,5.8609938698023e-09,4.7156499727363e-07,1.186221849126e-23,0.000471564918839373,2.02392575915361e-10,constant,0.01,901,13,8,assessed
Amda,6.51857941364566e-17,7.83999809090773e-10,8.31451658286173e-08,8.44784935444219e-22,8.31461373069127e-05,1.07753069339806e-07,constant,0.01,901,13,8,assessed
Ag_q,3.05420401686128e-21,1.86025182566931e-14,1.64182288371758e-07,3.6596171799958e-26,0.000155808584031811,1.86691175698625e-07,constant,0.01,901,13,16,assessed
