caseId,split,policy,tolerance,status,largestDenseCount,largestJointCount,largestSampledCount,falseAcceptance,retainedCountLoss,additionalQuadraticLoss,worstMissedError,productEvaluations,candidatePlanEvaluations,densePlanEvaluations,limitingInteraction
withheld-pycnocline-65,withheld,linear,0.01,explicit-fixed-family-rejected,16,4,4,NaN,NaN,NaN,1.322033e-06,0,0,8126480,"wave mode 1 sign 1 [-4,0] x wave mode 1 sign 1 [1,0] -> wave [-3,0], w*dz(u)"
withheld-pycnocline-65,withheld,fixed,0.01,explicit-fixed-family-rejected,16,4,4,NaN,NaN,NaN,1.322033e-06,43200,213528,8126480,"wave mode 1 sign 1 [4,0] x wave mode 1 sign 1 [-1,0] -> wave [3,0], w*dz(u)"
withheld-pycnocline-65,withheld,targeted,0.01,explicit-fixed-family-rejected,16,4,4,NaN,NaN,NaN,1.322033e-06,66060,328704,8126480,"wave mode 1 sign 1 [4,0] x wave mode 1 sign 1 [-1,0] -> wave [3,0], w*dz(u)"
followup-pycnocline-129,resolution-followup,linear,0.1,scored,16,16,16,0,0,0,1.370042e-06,0,0,8126480,"wave mode 16 sign 1 [-2,0] x wave mode 1 sign 1 [1,0] -> wave [-1,0], w*dz(u)"
followup-pycnocline-129,resolution-followup,fixed,0.1,scored,16,16,16,0,0,0,1.370042e-06,213528,213528,8126480,"wave mode 16 sign 1 [-2,0] x wave mode 1 sign 1 [1,0] -> wave [-1,0], w*dz(u)"
followup-pycnocline-129,resolution-followup,targeted,0.1,scored,16,16,16,0,0,0,1.370042e-06,321892,321892,8126480,"wave mode 16 sign 1 [-2,0] x wave mode 1 sign 1 [1,0] -> wave [-1,0], w*dz(u)"
followup-pycnocline-129,resolution-followup,linear,0.03,scored,16,16,16,0,0,0,1.370042e-06,0,0,8126480,"wave mode 16 sign 1 [-2,0] x wave mode 1 sign 1 [1,0] -> wave [-1,0], w*dz(u)"
followup-pycnocline-129,resolution-followup,fixed,0.03,scored,16,16,16,0,0,0,1.370042e-06,213528,213528,8126480,"wave mode 16 sign 1 [-2,0] x wave mode 1 sign 1 [1,0] -> wave [-1,0], w*dz(u)"
followup-pycnocline-129,resolution-followup,targeted,0.03,scored,16,16,16,0,0,0,1.370042e-06,321892,321892,8126480,"wave mode 16 sign 1 [-2,0] x wave mode 1 sign 1 [1,0] -> wave [-1,0], w*dz(u)"
followup-pycnocline-129,resolution-followup,linear,0.01,scored,16,16,16,0,0,0,1.370042e-06,0,0,8126480,"wave mode 16 sign 1 [-2,0] x wave mode 1 sign 1 [1,0] -> wave [-1,0], w*dz(u)"
followup-pycnocline-129,resolution-followup,fixed,0.01,scored,16,16,16,0,0,0,1.370042e-06,213528,213528,8126480,"wave mode 16 sign 1 [-2,0] x wave mode 1 sign 1 [1,0] -> wave [-1,0], w*dz(u)"
followup-pycnocline-129,resolution-followup,targeted,0.01,scored,16,16,16,0,0,0,1.370042e-06,321892,321892,8126480,"wave mode 16 sign 1 [-2,0] x wave mode 1 sign 1 [1,0] -> wave [-1,0], w*dz(u)"
